============================================================
LIMELIGHT MODEL TRAINER
============================================================

Job ID: a2a31d35
Spinning up 1 NVIDIA H100 GPU...

Steps: 4000, Batch size: 16, Platform: coral

STAGE 1/6: Downloading dataset...
  Downloading from URL...
  Downloaded: 29.03 MB
  Extracting dataset...
  Archive contains 11 files
  Scanning for TFRecords and label map...
    Found label map: test/balls_label_map.pbtxt
    Found train record: train/balls.tfrecord
    Found label map: train/balls_label_map.pbtxt
    Found val record: valid/balls.tfrecord
    Found label map: valid/balls_label_map.pbtxt

STAGE 2/6: Loading pretrained model...
  Pretrained model ready

STAGE 3/6: Configuring training pipeline...
  Detected 1 classes: ['Fuels']

STAGE 4/6: Training model...
----------------------------------------
  Starting validation evaluation thread...
  Validation thread started (will evaluate at each checkpoint)
  Progress check #1: No loss data yet
  Progress check #2: No loss data yet
  Progress check #3: No loss data yet
  Progress check #4: No loss data yet
  Progress check #5: No loss data yet
  TensorBoard val tags: ['eval_side_by_side_0_0', 'eval_side_by_side_1_0', 'eval_side_by_side_2_0', 'eval_side_by_side_3_0', 'eval_side_by_side_4_0', 'eval_side_by_side_5_0', 'eval_side_by_side_6_0', 'eval_side_by_side_7_0', 'eval_side_by_side_8_0', 'eval_side_by_side_9_0']
  TensorBoard train tags: ['train_input_images', 'steps_per_sec', 'Loss/localization_loss', 'Loss/classification_loss', 'Loss/regularization_loss', 'Loss/total_loss', 'learning_rate']
  Step 25/4000 - Train Loss: 0.6294 | Val: 0.7777
  Step 75/4000 - Train Loss: 0.3391 | Val: 0.7777
  Step 125/4000 - Train Loss: 0.2544 | Val: 0.7777
  Step 150/4000 - Train Loss: 0.2295 | Val: 0.7777
  Step 200/4000 - Train Loss: 0.1389 | Val: 0.7777
  Step 225/4000 - Train Loss: 0.1655 | Val: 0.7777
  Step 275/4000 - Train Loss: 0.0924 | Val: 0.7777
  Step 300/4000 - Train Loss: 0.0617 | Val: 0.7777
  Step 350/4000 - Train Loss: 0.1417 | Val: 0.7777
  Step 400/4000 - Train Loss: 0.0693 | Val: 0.7777
  Step 425/4000 - Train Loss: 0.0368 | Val: 0.7777
  Step 475/4000 - Train Loss: 0.0690 | Val: 0.7777
  Step 500/4000 - Train Loss: 0.0432 | Val: 0.7777
  Step 550/4000 - Train Loss: 0.0576 | Val: 0.0333
  Step 575/4000 - Train Loss: 0.0706 | Val: 0.0333
  Step 625/4000 - Train Loss: 0.0783 | Val: 0.0333
  Step 675/4000 - Train Loss: 0.0646 | Val: 0.0333
  Step 700/4000 - Train Loss: 0.0400 | Val: 0.0333
  Step 750/4000 - Train Loss: 0.0365 | Val: 0.0333
  Step 775/4000 - Train Loss: 0.0466 | Val: 0.0333
  Step 825/4000 - Train Loss: 0.0345 | Val: 0.0333
  Step 850/4000 - Train Loss: 0.0392 | Val: 0.0333
  Step 900/4000 - Train Loss: 0.0511 | Val: 0.0333
  Step 950/4000 - Train Loss: 0.0285 | Val: 0.0333
