============================================================
LIMELIGHT MODEL TRAINER
============================================================

Job ID: bd41a092
Spinning up 1 NVIDIA H100 GPU...

Steps: 20000, Batch size: 16, Platform: coral

STAGE 1/6: Downloading dataset...
  Downloading from Google Drive...
  Downloaded: 26.87 MB
  Extracting dataset...
  Archive contains 11 files
  Scanning for TFRecords and label map...
    Found label map: test/balls_label_map.pbtxt
    Found train record: train/balls.tfrecord
    Found label map: train/balls_label_map.pbtxt
    Found val record: valid/balls.tfrecord
    Found label map: valid/balls_label_map.pbtxt

STAGE 2/6: Loading pretrained model...
  Pretrained model ready

STAGE 3/6: Configuring training pipeline...
  Detected 1 classes: ['Fuels']

STAGE 4/6: Training model...
----------------------------------------
  Starting validation evaluation thread...
  Validation thread started (will evaluate at each checkpoint)
  Progress check #1: No loss data yet
  Progress check #2: No loss data yet
  Progress check #3: No loss data yet
  Progress check #4: No loss data yet
  Progress check #5: No loss data yet
  TensorBoard val tags: ['eval_side_by_side_0_0', 'eval_side_by_side_1_0', 'eval_side_by_side_2_0', 'eval_side_by_side_3_0', 'eval_side_by_side_4_0', 'eval_side_by_side_5_0', 'eval_side_by_side_6_0', 'eval_side_by_side_7_0', 'eval_side_by_side_8_0', 'eval_side_by_side_9_0']
  TensorBoard train tags: ['train_input_images', 'steps_per_sec', 'Loss/localization_loss', 'Loss/classification_loss', 'Loss/regularization_loss', 'Loss/total_loss', 'learning_rate']
  Step 25/20000 - Train Loss: 0.4667 | Val: 0.7421
  Step 75/20000 - Train Loss: 0.2572 | Val: 0.7421
  Step 125/20000 - Train Loss: 0.1827 | Val: 0.7421
  Step 150/20000 - Train Loss: 0.1041 | Val: 0.7421
  Step 200/20000 - Train Loss: 0.0718 | Val: 0.7421
  Step 225/20000 - Train Loss: 0.0662 | Val: 0.7421
  Step 275/20000 - Train Loss: 0.0562 | Val: 0.7421
  Step 300/20000 - Train Loss: 0.0842 | Val: 0.7421
  Step 350/20000 - Train Loss: 0.0376 | Val: 0.7421
  Step 400/20000 - Train Loss: 0.0481 | Val: 0.7421
  Step 425/20000 - Train Loss: 0.0488 | Val: 0.7421
  Step 475/20000 - Train Loss: 0.0252 | Val: 0.7421
  Step 500/20000 - Train Loss: 0.0397 | Val: 0.7421
  Step 550/20000 - Train Loss: 0.0495 | Val: 0.0189
  Step 575/20000 - Train Loss: 0.0198 | Val: 0.0189
  Step 625/20000 - Train Loss: 0.0193 | Val: 0.0189
  Step 675/20000 - Train Loss: 0.0495 | Val: 0.0189
  Step 700/20000 - Train Loss: 0.0256 | Val: 0.0189
  Step 750/20000 - Train Loss: 0.0399 | Val: 0.0189
  Step 775/20000 - Train Loss: 0.0277 | Val: 0.0189
  Step 825/20000 - Train Loss: 0.0390 | Val: 0.0189
  Step 850/20000 - Train Loss: 0.0199 | Val: 0.0189
  Step 900/20000 - Train Loss: 0.0206 | Val: 0.0189
  Step 950/20000 - Train Loss: 0.0208 | Val: 0.0189
